,os_1,os_2,sm_2,sm_3,sm_4,sm_6,sm_7,sm_8,sm_9,sm_11,sm_12,sm_13,sm_14,sm_15,sm_17,sm_20,sm_21,fault?
20,-0.0012,0.0001,0.3493975903614429,0.32766514061477947,0.2680621201890632,1.0,0.6811594202898665,0.31818181818194347,0.11854976218253614,0.1785714285714269,0.7953091684434864,0.29411764705862686,0.17586954278047726,0.3078106964217009,0.3333333333333333,0.7364341085271344,0.5742888704777647,0
191,0.0009,-0.0,0.7018072289156542,0.6620885110093752,0.7587778528021614,1.0,0.22544283413848545,0.6363636363638869,0.051557031320110164,0.8333333333333326,0.29637526652452106,0.6470588235296478,0.05671379915368307,0.7171989226625655,0.6666666666666666,0.2635658914728655,0.09762496547914758,1
273,0.0035,-0.0001,0.1957831325301174,0.3531720078482669,0.3465563808237672,1.0,0.6956521739130419,0.16666666666689633,0.15054294175716146,0.20238095238095022,0.7697228144989223,0.1764705882351761,0.18159768809990998,0.06887264332435904,0.25,0.7984496124031022,0.7662247997790668,0
350,-0.0018,-0.0003,0.18072289156624113,0.49814693699585955,0.29473328831870416,1.0,0.6199677938808488,0.21212121212106597,0.16633761105626677,0.24404761904761707,0.7484008528784724,0.1764705882351761,0.19955619775002645,0.34205463639861733,0.4166666666666667,0.5813953488372097,0.6955260977630471,0
478,-0.0005,0.0006,0.7951807228915774,0.8166557662960527,0.8202228224172841,1.0,0.291465378421895,0.45454545454514134,0.3932064973526016,0.7559523809523787,0.23880597014923347,0.48529411764706865,0.3902879554133564,0.8141592920354007,0.8333333333333334,0.22480620155038708,0.2631869649268157,1
491,0.0002,0.0003,0.42771084337348986,0.26618705035971235,0.35904794058068834,1.0,0.8695652173913115,0.19696969696990577,0.1586646325047137,0.23809523809523728,0.7611940298507422,0.26470588235276415,0.2002786665290559,0.19007310504040142,0.16666666666666666,0.7906976744186021,0.6117094725214002,0
617,-0.0022,0.0005,0.563253012048205,0.5195116633965525,0.555199189736666,1.0,0.6376811594202854,0.2727272727270848,0.3034640581531044,0.40476190476190466,0.6439232409381705,0.27941176470602985,0.37945092372794276,0.6056175452096993,0.4166666666666667,0.5581395348837204,0.5633802816901379,0
657,0.0012,0.0,0.692771084337349,0.7359930237628058,0.7761647535449023,1.0,0.33172302737519666,0.36363636363611307,0.7887911693439846,0.7380952380952394,0.1791044776119251,0.47058823529380295,0.8019403447208213,0.6952674105425157,0.8333333333333334,0.2015503875968978,0.08561170947251814,1
801,-0.0008,0.0003,0.41867469879518465,0.3747547416612167,0.4854827819041186,1.0,0.4138486312399305,0.2424242424240754,0.3136049537826485,0.4999999999999979,0.6545842217483955,0.2058823529410388,0.32851687480648595,0.4174682570219359,0.5,0.4418604651162796,0.5187793427230026,0
846,-0.0024,-0.0002,1.0,0.8953564421190283,0.849088453747467,1.0,0.3349436392914578,0.34848484848495287,0.7923808669119613,0.7738095238095223,0.2452025586353927,0.4117647058820776,0.8229951491382015,0.7683724509426701,0.8333333333333334,0.23255813953488166,0.2850041425020694,1
