,os_1,os_2,sm_2,sm_3,sm_4,sm_6,sm_7,sm_8,sm_9,sm_11,sm_12,sm_13,sm_14,sm_15,sm_17,sm_20,sm_21,fault?
52,0.0021,-0.0001,0.42168674698795305,0.19141050795726947,0.3377785280216068,1.0,0.6940418679549113,0.2272727272729152,0.1320111280624607,0.2619047619047606,0.6972281449893439,0.26470588235276415,0.17772731964083266,0.4497883801462143,0.3333333333333333,0.5891472868217043,0.6673570836785419,0
126,-0.001,0.0002,0.5361445783132551,0.34575975583170016,0.2910195813639434,1.0,0.6376811594202854,0.287878787878934,0.11742798169254243,0.464285714285715,0.565031982942433,0.3235294117644895,0.17060584167612985,0.5298191612158545,0.4166666666666667,0.5968992248061988,0.5288594310963812,0
191,0.0009,-0.0,0.7018072289156542,0.6620885110093752,0.7587778528021614,1.0,0.22544283413848545,0.6363636363638869,0.051557031320110164,0.8333333333333326,0.29637526652452106,0.6470588235296478,0.05671379915368307,0.7171989226625655,0.6666666666666666,0.2635658914728655,0.09762496547914758,1
238,0.0021,0.0003,0.3584337349397481,0.27926749509483134,0.23987170830519977,1.0,0.8228663446054875,0.21212121212106597,0.1112357533877807,0.107142857142857,0.861407249466954,0.1764705882351761,0.19109299205284705,0.19507502885725606,0.25,0.5813953488372097,0.6220657276995282,0
256,0.0008,0.0,0.14759036144578871,0.2517985611510775,0.22197839297771926,0.0,0.7133655394524968,0.15151515151504713,0.15857489006551223,0.2916666666666679,0.8166311300639607,0.14705882352931343,0.18464237795438487,0.3382070026933482,0.25,0.604651162790699,0.6231703949185308,0
300,0.0014,0.0,0.27409638554216437,0.4222803575321576,0.17977717758271589,1.0,0.62318840579711,0.33333333333310367,0.14125459930000664,0.2559523809523808,0.7057569296375239,0.1617647058819104,0.23438951388172222,0.3124278568680293,0.25,0.744186046511629,0.6289698978182785,0
301,-0.0013,-0.0002,0.32530120481926145,0.26727708742097145,0.2738014854827823,1.0,0.7487922705314066,0.2575757575759246,0.1439468724759932,0.2738095238095244,0.7633262260127873,0.2058823529410388,0.20693570027866867,0.18237783762985632,0.25,0.7131782945736452,0.6980115990057968,0
316,-0.0015,0.0001,0.4518072289156713,0.33311532592107984,0.26485482781904207,1.0,0.7987117552334918,0.16666666666689633,0.1742349457058235,0.2738095238095244,0.7547974413646072,0.14705882352931343,0.22174631024873728,0.29357445171219626,0.25,0.7364341085271344,0.668737917702289,0
329,0.0012,0.0004,0.3403614457831377,0.30848048833660463,0.28190411883862326,1.0,0.8341384863124017,0.1363636363631979,0.18774118280534882,0.18452380952380668,0.6481876332622606,0.23529411764690147,0.1938280524305937,0.33705271258176267,0.3333333333333333,0.5271317829457366,0.7462027064346843,0
478,-0.0005,0.0006,0.7951807228915774,0.8166557662960527,0.8202228224172841,1.0,0.291465378421895,0.45454545454514134,0.3932064973526016,0.7559523809523787,0.23880597014923347,0.48529411764706865,0.3902879554133564,0.8141592920354007,0.8333333333333334,0.22480620155038708,0.2631869649268157,1
