,os_1,os_2,sm_2,sm_3,sm_4,sm_6,sm_7,sm_8,sm_9,sm_11,sm_12,sm_13,sm_14,sm_15,sm_17,sm_20,sm_21,fault?
191,0.0009,-0.0,0.7018072289156542,0.6620885110093752,0.7587778528021614,1.0,0.22544283413848545,0.6363636363638869,0.051557031320110164,0.8333333333333326,0.29637526652452106,0.6470588235296478,0.05671379915368307,0.7171989226625655,0.6666666666666666,0.2635658914728655,0.09762496547914758,4
478,-0.0005,0.0006,0.7951807228915774,0.8166557662960527,0.8202228224172841,1.0,0.291465378421895,0.45454545454514134,0.3932064973526016,0.7559523809523787,0.23880597014923347,0.48529411764706865,0.3902879554133564,0.8141592920354007,0.8333333333333334,0.22480620155038708,0.2631869649268157,8
486,0.0017,-0.0005,0.30722891566265104,0.2302158273381277,0.3310263335584047,1.0,0.6859903381642583,0.15151515151504713,0.16988243740465084,0.16666666666666738,0.6780383795309147,0.26470588235276415,0.21431520280731092,0.3647556752597195,0.3333333333333333,0.5503875968992258,0.6382214857774088,0
657,0.0012,0.0,0.692771084337349,0.7359930237628058,0.7761647535449023,1.0,0.33172302737519666,0.36363636363611307,0.7887911693439846,0.7380952380952394,0.1791044776119251,0.47058823529380295,0.8019403447208213,0.6952674105425157,0.8333333333333334,0.2015503875968978,0.08561170947251814,3
846,-0.0024,-0.0002,1.0,0.8953564421190283,0.849088453747467,1.0,0.3349436392914578,0.34848484848495287,0.7923808669119613,0.7738095238095223,0.2452025586353927,0.4117647058820776,0.8229951491382015,0.7683724509426701,0.8333333333333334,0.23255813953488166,0.2850041425020694,4
1115,0.0022,0.0003,0.677710843373507,0.5720514497492902,0.8185347738014855,1.0,0.1481481481481434,0.42424242424213193,0.6071973436237968,0.8392857142857124,0.24946695095948268,0.4117647058820776,0.5821550211580171,0.7541362062331655,0.75,0.24031007751938177,0.18696492681579277,8
1164,-0.0005,0.0002,0.4939759036144632,0.46479180292129674,0.5133355840648224,1.0,0.6006441223832633,0.30303030303009426,0.04594812887014159,0.5059523809523819,0.6140724946695164,0.44117647058794024,0.11404685726081326,0.5952289342054639,0.5,0.4031007751937956,0.655067660867163,0
1303,0.0014,-0.0004,0.6807228915662754,0.6450839328537186,0.8890952059419323,1.0,0.1368760064412292,0.6666666666668963,0.027954769810641423,0.8095238095238093,0.061833688699353365,0.6764705882355104,0.01486221488285743,0.8114659484417104,0.75,0.2170542635658925,0.08768296050814374,3
1562,0.0043,-0.0001,0.8855421686746979,0.6167429692609525,0.8911208642808905,1.0,0.3413848631239985,0.43939393939398114,0.24324688145024143,0.6666666666666653,0.08742004264391756,0.5294117647055283,0.2364021054804441,0.7360523278183917,0.6666666666666666,0.24806201550387635,0.22838994752830472,7
1712,0.0026,-0.0003,0.8012048192771142,0.6932635709614099,0.8450371370695465,1.0,0.19806763285024695,0.5606060606060188,0.10962038948218715,0.8273809523809529,0.18763326226012933,0.5588235294120597,0.110073278976163,0.8695652173913077,0.5,0.07751937984496239,0.21651477492405,2
1913,-0.0016,0.0004,0.8524096385542113,0.5301940265969015,0.7795408507765034,1.0,0.39452495974234497,0.9090909090909717,0.9783272009333217,0.7499999999999989,0.33901918976544526,1.0,0.978893590669831,0.7337437475952275,0.9166666666666666,0.24031007751938177,0.18530792598729623,4
2135,0.0002,-0.0003,0.7379518072289093,0.6134728580771752,0.9122214719783922,1.0,0.4589371980676422,0.4848484848481508,0.42048819886924843,0.7380952380952394,0.28358208955222686,0.4117647058820776,0.43146867581794146,0.7348980377068131,0.8333333333333334,0.2868217054263548,0.3441038387185838,5
2375,0.0002,0.0001,0.6957831325301174,0.6032265097013298,0.8462187711006094,1.0,0.35104669887278217,0.43939393939398114,0.6010051153190351,0.7976190476190456,0.2665245202558669,0.4117647058820776,0.6102796986273159,0.7256637168141631,0.75,0.10852713178294625,0.2231427782380558,6
